ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
38,ปี 2568,7-50100-019,โรงเรียนศิริมังคลาจารย์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
39,ปี 2568,7-50100-020,โรงเรียนเทศบาลวัดศรีสุพรรณ,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลหายยา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
40,ปี 2544,7-50110-001,โรงเรียนรัตนาเอื้อวิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
41,ปี 2555,7-50110-002,โรงเรียนฝางชนูปถัมภ์,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
42,ปี 2555,7-50110-003,โรงเรียนบ้านม่วงชุม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลม่อนปิ่น,อําเภอฝาง,เชียงใหม่,50110
43,ปี 2559,7-50110-004,วิทยาลัยการอาชีพฝาง,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
44,ปี 2560,7-50110-005,โรงเรียนบ้านเหมืองแร่,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
45,ปี 2560,7-50110-006,โรงเรียนบ้านห้วยไคร้ (ฝาง),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
46,ปี 2560,7-50110-007,โรงเรียนบ้านโป่งนก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
47,ปี 2560,7-50110-008,โรงเรียนบ้านแม่คะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
48,ปี 2560,7-50110-009,โรงเรียนบ้านปางปอย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
49,ปี 2560,7-50110-010,โรงเรียนบ้านสันทรายคองน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
50,ปี 2560,7-50110-011,โรงเรียนบ้านโป่งน้ำร้อน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลโป่งน้ำร้อน,อําเภอฝาง,เชียงใหม่,50110
51,ปี 2560,7-50110-012,โรงเรียนเทศบาลเวียงฝาง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
52,ปี 2560,7-50110-013,โรงเรียนบ้านสันป่าแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
53,ปี 2567,7-50110-014,โรงเรียนบ้านหัวนา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลม่อนปิ่น,อําเภอฝาง,เชียงใหม่,50110
54,ปี 2562,7-50110-015,โรงเรียนอนุบาลเทศบาลสันทราย,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลสันทราย,อําเภอสันทราย,เชียงใหม่,50110
55,ปี 2562,7-50110-016,โรงเรียนวัดศรีบุญเรือง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
56,ปี 2563,7-50110-017,โรงเรียนบ้านแม่สูนน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
57,ปี 2563,7-50110-018,โรงเรียนบ้านแม่สูนหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
58,ปี 2563,7-50110-019,โรงเรียนบ้านหนองยาว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
59,ปี 2563,7-50110-020,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอฝาง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
60,ปี 2563,7-50110-021,โรงเรียนบ้านล้องอ้อ,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
61,ปี 2567,7-50110-022,โรงเรียนสายอักษร,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
62,ปี 2568,7-50110-023,โรงเรียนรังษีวิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
63,ปี 2568,7-50110-024,โรงเรียนอนุบาลสายอักษร,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
64,ปี 2568,7-50110-025,โรงเรียนบ้านเวียงหวาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลม่อนปิ่น,อําเภอฝาง,เชียงใหม่,50110
65,ปี 2568,7-50110-026,โรงเรียนบ้านห้วยงูกลาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
66,ปี 2568,7-50110-027,โรงเรียนบ้านห้วยบอน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
67,ปี 2569,7-50110-028,โรงเรียนบ้านเวียงฝาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
68,ปี 2569,7-50110-029,โรงเรียนบ้านสันทราย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
69,ปี 2568,7-50110-033/01-ตชด.,โรงเรียนตํารวจตระเวนชายแดนอาโอยาม่า,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลม่อนปิ่น,อําเภอฝาง,เชียงใหม่,50110
70,ปี 2555,7-50120-001,โรงเรียนเทพศิรินทร์เชียงใหม่,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลนน้ำบ่อหลวง,อําเภอสันป่าตอง,เชียงใหม่,50120
