ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
332,ปี 2562,7-50220-007,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอดอยสะเก็ต,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลเชิงดอย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
333,ปี 2563,7-50220-008,โรงเรียนอนุบาลเทศบาลตําบลแม่คือ,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่คือ,อําเภอดอยสะเก็ด,เชียงใหม่,50220
334,ปี 2568,7-50220-009,โรงเรียนบ้านบอหิน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลตลาดขวัญ,อําเภอดอยสะเก็ด,เชียงใหม่,50220
335,ปี 2568,7-50220-010,โรงเรียนอนุบาลวิลาวัลย,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลลวงเหนือ,อําเภอดอยสะเก็ด,เชียงใหม่,50220
336,ปี 2568,7-50220-011,โรงเรียนเทพเสด็จวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลเทพเสด็จ,อําเภอดอยสะเก็ด,เชียงใหม่,50220
337,ปี 2568,7-50220-012,โรงเรียนเพื่อชีวิตเชียงใหม่,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลป่าเมี่ยง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
338,ปี 2568,7-50220-013,โรงเรียนอนุบาลจันทโชติ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแม่โป่ง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
339,ปี 2568,7-50220-014,โรงเรียนบ้านปางน้ำถุ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลป่าเมี่ยง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
340,ปี 2568,7-50220-015,โรงเรียนบ้านโป่งกุม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลป่าเมี่ยง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
341,ปี 2568,7-50220-016,โรงเรียนบ้านรองขี้เหล็ก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลเชิงดอย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
342,ปี 2568,7-50220-017,โรงเรียนบ้านแม่หวาน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลป่าเมี่ยง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
343,ปี 2568,7-50220-018,โรงเรียนบ้านป่าเสรา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันปูเลย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
344,ปี 2568,7-50220-019,โรงเรียนบ้านปางแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลป่าเมี่ยง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
345,ปี 2568,7-50220-020,โรงเรียนเทศบาลตําบลตลาดใหญ่,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลตลาดใหญ่,อําเภอดอยสะเก็ด,เชียงใหม่,50220
346,ปี 2568,7-50220-021,โรงเรียนบ้านป่าขุย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันปูเลย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
347,ปี 2568,7-50220-022,โรงเรียนบ้านแม่ดอกแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลเชิงดอย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
348,ปี 2568,7-50220-023,โรงเรียนบ้านป่างิ้ว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลสงาบ้าน,อําเภอดอยสะเก็ด,เชียงใหม่,50220
349,ปี 2568,7-50220-024,โรงเรียนบ้านเชิงดอย (ดอยสะเก็ตศึกษา),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลเชิงดอย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
350,ปี 2568,7-50220-025,โรงเรียนอนุบาลเทศบาลตําบลสันปูเลย,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลสันปูเลย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
351,ปี 2569,7-50220-026,โรงเรียนอนุบาลสุมาลี,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลตลาดใหญ่,อําเภอดอยสะเก็ด,เชียงใหม่,50220
352,ปี 2548,7-50230-001,โรงเรียนบ้านไร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านแหวน,อําเภอหางดง,เชียงใหม่,50230
353,ปี 2554,7-50230-002,โรงเรียนต้นแกวผดุงพิทยาลัย,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลขุนคง,อําเภอหางดง,เชียงใหม่,50230
354,ปี 2555,7-50230-003,โรงเรียนหางดงรัฐราษฎรอุปภรณ์,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
355,ปี 2560,7-50230-004,โรงเรียนบ้านแสนตอ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลน้ำแพร,อําเภอหางดง,เชียงใหม่,50230
356,ปี 2562,7-50230-005,โรงเรียนบ้านทาวบุญเรือง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านแหวน,อําเภอหางดง,เชียงใหม่,50230
357,ปี 2562,7-50230-006,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอหางดง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
358,ปี 2563,7-50230-007,โรงเรียนวัดศรีลอม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลหารแก้ว,อําเภอหางดง,เชียงใหม่,50230
359,ปี 2564,7-50230-008,โรงเรียนบ้านแม่งูด,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50230
360,ปี 2565,7-50230-009,"โรงเรียนเทศบาลหางดง
(ประชาคมสรางสรรค)",กรมส่งเสริมการปกครองท้องถิ่น,ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
361,ปี 2566,7-50230-010,โรงเรียนอนุบาลพัฒนชัย,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันผักหวาน,อําเภอหางดง,เชียงใหม่,50230
362,ปี 2568,7-50230-011,โรงเรียนอนุบาลซันชายน,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
363,ปี 2568,7-50230-012,โรงเรียนนานาชาติบริติช คอน คอรแดนซ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนอควาย,อําเภอหางดง,เชียงใหม่,50230
364,ปี 2568,7-50230-013,โรงเรียนอนุบาลเต็มสิริวิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลน้ำแพร,อําเภอหางดง,เชียงใหม่,50230
365,ปี 2568,7-50230-014,โรงเรียนนันทชาติเกรดสคูล,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
366,ปี 2568,7-50230-015,โรงเรียนบ้านฟอน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
367,ปี 2568,7-50230-016,โรงเรียนบ้านน้ำแพร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
368,ปี 2568,7-50230-017,โรงเรียนอนุบาลเทศบาลตําบล หนองควาย,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
369,ปี 2556,7-50240-001,โรงเรียนฮอดพิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
370,ปี 2559,7-50240-002,โรงเรียนวัดบ้านขุนเตรียมพุทธ ศาสตร,สํานักงานพระพุทธศาสนาแห่งชาติ,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
371,ปี 2562,7-50240-003,โรงเรียนแม่โถวิทยาคม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ่อสลี,อําเภอฮอด,เชียงใหม่,50240
372,ปี 2563,7-50240-004,โรงเรียนบ้านวังกอง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
373,ปี 2564,7-50240-005,โรงเรียนบ้านแม่ลอง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
374,ปี 2564,7-50240-006,โรงเรียนบ้านนาฟอน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
375,ปี 2564,7-50240-007,โรงเรียนศูนย์อพยพแปลง 8,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลท่าเดื่อ,อําเภอดอยเต่า,เชียงใหม่,50240
376,ปี 2564,7-50240-008,โรงเรียนบ้านทุ่งโปง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านตาล,อําเภอฮอด,เชียงใหม่,50240
377,ปี 2564,7-50240-009,โรงเรียนบ้านกองลอย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อสลี,อําเภออมก๋อย,เชียงใหม่,50240
378,ปี 2567,7-50240-010,โรงเรียนบ้านทุ่ง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อสลี,อําเภอฮอด,เชียงใหม่,50240
379,ปี 2568,7-50240-011,โรงเรียนบ้านผาแตน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
380,ปี 2564,7-50240-012,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอฮอด,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
381,ปี 2568,7-50240-013,โรงเรียนบ้านดอยคํา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
382,ปี 2568,7-50240-014,โรงเรียนชุมชนบ้านท่าขาม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
383,ปี 2568,7-50240-015,โรงเรียนบ้านแม่อมลอง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อสลี,อําเภอฮอด,เชียงใหม่,50240
384,ปี 2568,7-50240-016,โรงเรียนบ้านนาคอเรือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50240
385,ปี 2568,7-50240-017,โรงเรียนบ้านตาลใต,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านตาล,อําเภอฮอด,เชียงใหม่,50240
386,ปี 2568,7-50240-018,โรงเรียนบ้านวังลุง (เพชรประชานุ เคราะห),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
387,ปี 2568,7-50240-019,โรงเรียนบ้านบอหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
388,ปี 2568,7-50240-020,โรงเรียนบ้านบอสลี,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อสลี,อําเภอฮอด,เชียงใหม่,50240
389,ปี 2568,7-50240-021,โรงเรียนบ้านหางดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
390,ปี 2568,7-50240-022,โรงเรียนบ้านแม่ลายเหนือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
391,ปี 2568,7-50240-023,โรงเรียนบ้านพุย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
392,ปี 2568,7-50240-024,โรงเรียนบ้านแควมะกอก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลฮอด,อําเภอฮอด,เชียงใหม่,50240
393,ปี 2568,7-50240-025,โรงเรียนบ้านเตียนอาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
394,ปี 2568,7-50240-026,โรงเรียนบ้านขุน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
395,ปี 2568,7-50240-027,โรงเรียนบ้านกิ่วลม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
396,ปี 2568,7-50240-028,โรงเรียนบ้านตาลเหนือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านตาล,อําเภอฮอด,เชียงใหม่,50240
397,ปี 2568,7-50240-029,โรงเรียนชุมชนบ้านแม่ทัง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
398,ปี 2568,7-50240-030,โรงเรียนบ้านแปะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
399,ปี 2568,7-50240-031,โรงเรียนบ้านห้วยทราย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
400,ปี 2568,7-50240-032,โรงเรียนบ้านห้วยมวงฝงซาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
401,ปี 2568,7-50240-033,โรงเรียนบ้านบนนา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
402,ปี 2568,7-50240-034,โรงเรียนบ้านท่าขาม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
403,ปี 2568,7-50240-035,โรงเรียนบ้านสบแปะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
404,ปี 2568,7-50240-036,โรงเรียนบ้านแม่สอย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
405,ปี 2568,7-50240-037,โรงเรียนบ้านขุนแปะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
406,ปี 2568,7-50240-038,โรงเรียนบ้านหนองคัน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
407,ปี 2568,7-50240-039,โรงเรียนบ้านดงคํา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลฮอด,อําเภอฮอด,เชียงใหม่,50240
408,ปี 2568,7-50240-040,โรงเรียนบ้านกองหิน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
409,ปี 2568,7-50240-041,โรงเรียนบ้านโรงวัว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
410,ปี 2568,7-50240-042,โรงเรียนบ้านใหมสารภี,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
411,ปี 2568,7-50240-043,โรงเรียนบ้านสบแจ่มฝงซาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
412,ปี 2568,7-50240-044,โรงเรียนบ้านเดนวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50240
413,ปี 2568,7-50240-045,โรงเรียนบ้านตีนตก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50240
414,ปี 2568,7-50240-046,โรงเรียนบ้านดอกแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อสลี,อําเภอฮอด,เชียงใหม่,50240
415,ปี 2568,7-50240-047,โรงเรียนบ้านแม่ลาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
416,ปี 2568,7-50240-048,โรงเรียนบ้านแม่สะนาม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ่อหลวง,อําเภอฮอด,เชียงใหม่,50240
417,ปี 2568,7-50240-049,โรงเรียนบ้านโคงงาม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
418,ปี 2556,7-50250-001,โรงเรียนบ้านปางขุม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
419,ปี 2562,7-50250-002,โรงเรียนทรายทองราษฎรอุทิศ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
420,ปี 2564,7-50250-003,โรงเรียนบ้านกิ่วเสือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
421,ปี 2565,7-50250-004,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอสะเมิง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
422,ปี 2567,7-50250-005,โรงเรียนบ้านแม่โต,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
423,ปี 2568,7-50250-006,โรงเรียนวัดปางเติม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
424,ปี 2568,7-50250-007,โรงเรียนวัดบ้านปอก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงเหนือ,อําเภอสะเมิง,เชียงใหม่,50250
425,ปี 2568,7-50250-008,โรงเรียนบ้านป่าลาน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงเหนือ,อําเภอสะเมิง,เชียงใหม่,50250
426,ปี 2568,7-50250-009,โรงเรียนสะเมิงพิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
427,ปี 2568,7-50250-010,โรงเรียนวัดปางเติม สาขาบ้านขุน สาบ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
428,ปี 2568,7-50250-011,โรงเรียนวัดยั้งเมิน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
429,ปี 2568,7-50250-012,โรงเรียนบ้านบอแกว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
430,ปี 2568,7-50250-013,โรงเรียนบ้านแม่ยางหา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
431,ปี 2568,7-50250-014,โรงเรียนบ้านแม่ยางหา สาขาบ้าน เดนฮอม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
432,ปี 2568,7-50250-015,โรงเรียนชุมชนบ้านดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
433,ปี 2568,7-50250-016,โรงเรียนวัดงิ้วเฒา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
434,ปี 2568,7-50250-017,โรงเรียนบ้านแม่ลานคํา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
435,ปี 2568,7-50250-018,โรงเรียนบ้านนากู,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
436,ปี 2568,7-50250-019,โรงเรียนบ้านแม่ขะปู,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
437,ปี 2568,7-50250-020,โรงเรียนบ้านห้วยน้ำจาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
438,ปี 2568,7-50250-021,โรงเรียนบ้านแม่แว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
439,ปี 2568,7-50250-022,โรงเรียนบ้านแม่ลานคํา สาขา บ้านป่าคานอก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
440,ปี 2568,7-50250-023,โรงเรียนชุมชนบ้านแม่สาบ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
441,ปี 2553,7-50250-033/04-ตชด.,โรงเรียนรัปปาปอรต (ตชด. บํารุง ที่ 92),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ่อแก้ว,อําเภอสะเมิง,เชียงใหม่,50250
442,ปี 2563,7-50260-001,โรงเรียนดอยเต่าวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลท่าเดื่อ,อําเภอดอยเต่า,เชียงใหม่,50260
443,ปี 2564,7-50260-002,โรงเรียนชุมชนบ้านดอยเต่า,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลดอยเต่า,อําเภอดอยเต่า,เชียงใหม่,50260
444,ปี 2564,7-50260-003,โรงเรียนบ้านแปลง 5,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลท่าเดื่อ,อําเภอดอยเต่า,เชียงใหม่,50260
445,ปี 2568,7-50260-004,โรงเรียนบ้านวังหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลท่าเดื่อ,อําเภอดอยเต่า,เชียงใหม่,50260
446,ปี 2568,7-50260-005,โรงเรียนชุมชนศูนย์อพยพแปลง 4,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลมืดกา,อําเภอดอยเต่า,เชียงใหม่,50260
447,ปี 2568,7-50260-006,โรงเรียนบ้านฉิมพลี,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลดอยเต่า,อําเภอดอยเต่า,เชียงใหม่,50260
448,ปี 2568,7-50260-007,โรงเรียนบ้านหนองบัวคํา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลท่าเดื่อ,อําเภอดอยเต่า,เชียงใหม่,50260
449,ปี 2568,7-50260-008,โรงเรียนบ้านแปลง 2,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลมืดกา,อําเภอดอยเต่า,เชียงใหม่,50260
450,ปี 2568,7-50260-009,โรงเรียนบ้านวังหมอ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านแอ่น,อําเภอดอยเต่า,เชียงใหม่,50260
