"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
35,20 พฤศจิกายน 2568,7-50100-016,โรงเรียนอนุบาลเทศบาลเมืองแม่เหียะ,เทศบาลเมืองแม่เหียะ,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
36,20 พฤศจิกายน 2568,7-50100-017,โรงเรียนเทศบาลวัดพวกช้าง,เทศบาลนครเชียงใหม่,ตําบลหายยา,"อําเภอเมือง
เชียงใหม่",เชียงใหม่,50100
37,20 พฤศจิกายน 2568,7-50100-018,โรงเรียนเทศบาลวัดเชียงยืน,เทศบาลนครเชียงใหม่,ตําบลศรีภูมิ,อําเภอเมือง,เชียงใหม่,50100
38,11 ธันวาคม 2568,7-50100-019,โรงเรียนศิริมังคลาจารย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
39,19 ธันวาคม 2568,7-50100-020,โรงเรียนเทศบาลวัดศรีสุพรรณ,เทศบาลนครเชียงใหม่,ตําบลหายยา,"อําเภอเมือง
เชียงใหม่",เชียงใหม่,50100
40,10 สิงหาคม 2544,7-50110-001,โรงเรียนรัตนาเอื้อวิทยา,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
41,5 พฤศจิกายน 2555,7-50110-002,โรงเรียนฝางชนูปถัมภ์,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
42,ประมาณป 2555,7-50110-003,โรงเรียนบ้านม่วงชุม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลม่อนปิ่น,อําเภอฝาง,เชียงใหม่,50110
43,12 กุมภาพันธ 2559,7-50110-004,วิทยาลัยการอาชีพฝาง,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
44,1 พฤษภาคม 2560,7-50110-005,โรงเรียนบ้านเหมืองแร่,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
45,1 พฤษภาคม 2560,7-50110-006,โรงเรียนบ้านห้วยไคร้ (ฝาง),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
46,1 พฤษภาคม 2560,7-50110-007,โรงเรียนบ้านโป่งนก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
47,1 พฤษภาคม 2560,7-50110-008,โรงเรียนบ้านแม่คะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
48,1 พฤษภาคม 2560,7-50110-009,โรงเรียนบ้านปางปอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่คะ,อําเภอฝาง,เชียงใหม่,50110
49,1 พฤษภาคม 2560,7-50110-010,โรงเรียนบ้านสันทรายคองน้อย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
50,1 พฤษภาคม 2560,7-50110-011,โรงเรียนบ้านโป่งน้ำร้อน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลโป่งน้ำร้อน,อําเภอฝาง,เชียงใหม่,50110
51,21 สิงหาคม 2560,7-50110-012,โรงเรียนเทศบาลเวียงฝาง,เทศบาลตําบลเวียงฝาง,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
52,21 สิงหาคม 2560,7-50110-013,โรงเรียนบ้านสันป่าแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
53,20 มิถุนายน 2567,7-50110-014,โรงเรียนบ้านหัวนา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลมอนปน,อําเภอฝาง,เชียงใหม่,50110
54,20 พฤศจิกายน 2562,7-50110-015,โรงเรียนอนุบาลเทศบาลสันทราย,เทศบาลตําบลสันทราย,ตําบลสันทราย,อําเภอสันทราย,เชียงใหม่,50110
55,20 ธันวาคม 2562,7-50110-016,โรงเรียนวัดศรีบุญเรือง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
56,20 กุมภาพันธ 2563,7-50110-017,โรงเรียนบ้านแม่สูนน้อย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
57,20 สิงหาคม 2563,7-50110-018,โรงเรียนบ้านแม่สูนหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
58,20 สิงหาคม 2563,7-50110-019,โรงเรียนบ้านหนองยาว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
59,20 ตุลาคม 2563,7-50110-020,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอฝาง,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
60,20 พฤศจิกายน 2563,7-50110-021,โรงเรียนบ้านล้องอ้อ,องคการบริหารสวนตําบลแม่สูน,ตําบลแม่สูน,อําเภอฝาง,เชียงใหม่,50110
61,19 กรกฎาคม 2567,7-50110-022,โรงเรียนสายอักษร,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
62,21 กรกฎาคม 2568,7-50110-023,โรงเรียนรังษีวิทยา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
63,21 กรกฎาคม 2568,7-50110-024,โรงเรียนอนุบาลสายอักษร,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
64,19 กันยายน 2568,7-50110-025,โรงเรียนบ้านเวียงหวาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลมอนปน,อําเภอฝาง,เชียงใหม่,50110
65,11 ธันวาคม 2568,7-50110-026,โรงเรียนบ้านห้วยงูกลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
66,19 ธันวาคม 2568,7-50110-027,โรงเรียนบ้านห้วยบอน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
67,20 มีนาคม 2569,7-50110-028,โรงเรียนบ้านเวียงฝาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเวียง,อําเภอฝาง,เชียงใหม่,50110
68,20 มีนาคม 2569,7-50110-029,โรงเรียนบ้านสันทราย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลสันทราย,อําเภอฝาง,เชียงใหม่,50110
69,20 มิถุนายน 2568,7-50110-033/01-ตชด.,โรงเรียนตํารวจตระเวนชายแดน อาโอยาม่า,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลมอนปน,อําเภอฝาง,เชียงใหม่,50110
70,5 พฤศจิกายน 2555,7-50120-001,โรงเรียนเทพศิรินทร์ เชียงใหม่,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลนน้ำบอหลวง,อําเภอสันป่าตอง,เชียงใหม่,50120
71,16 กุมภาพันธ 2558,7-50120-002,โรงเรียนกิ่วแลน้อยประสิทธิ์วิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านแม,อําเภอสันป่าตอง,เชียงใหม่,50120
72,4 มิถุนายน 2562,7-50120-003,โรงเรียนสันป่าตองวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
73,20 ธันวาคม 2565,7-50120-004,วิทยาลัยเกษตรและเทคโนโลยีเชียงใหม่,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลบ้านกลาง,อําเภอสันป่าตอง,เชียงใหม่,50120
74,20 ธันวาคม 2565,7-50120-005,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอสันป่าตอง,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
75,21 กรกฎาคม 2568,7-50120-006,โรงเรียนวิมานทิพย์,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลสันกลาง,อําเภอสันป่าตอง,เชียงใหม่,50120
76,20 ตุลาคม 2568,7-50120-007,โรงเรียนวัดอุเม็ง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
77,20 ตุลาคม 2568,7-50120-008,โรงเรียนวัดกู่คํา (เมธาวิสัยคณาทร),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
78,20 ตุลาคม 2568,7-50120-009,โรงเรียนชุมชนกิ่วแลหลวงประสิทธิ์วิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลยุหว่า,อําเภอสันป่าตอง,เชียงใหม่,50120
79,20 พฤศจิกายน 2568,7-50120-010,โรงเรียนอนุบาลตําบลทุงสะโตก,เทศบาลตําบลทุงสะโตก,ตําบลทุงสะโตก,อําเภอสันป่าตอง,เชียงใหม่,50120
80,20 พฤศจิกายน 2568,7-50120-011,โรงเรียนอนุบาลองคการบริหารสวนตําบลน้ำบ่อหลวง,องคการบริหารสวนตําบลน้ำ บอหลวง,ตําบลน้ำบ่อหลวง,อําเภอสันป่าตอง,เชียงใหม่,50120
81,ประมาณป 2556,7-50130-001,โรงเรียนแม่ตะไคร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลทาเหนือ,อําเภอแม่ออน,เชียงใหม่,50130
82,23 พฤษภาคม 2556,7-50130-002,โรงเรียนแม่ออนวิทยาลัย,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลดอนกลาง,อําเภอแม่ออน,เชียงใหม่,50130
83,9 พฤศจิกายน 2558,7-50130-003,โรงเรียนสวนเด็กสันกําแพง,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแม่ปูคา,อําเภอสันกําแพง,เชียงใหม่,50130
84,30 พฤศจิกายน 2559,7-50130-004,โรงเรียนอนุบาลองคการบริหารสวนตําบลห้วยแกว,องคการบริหารสวนตําบลห้วย แกว,ตําบลห้วยแกว,อําเภอแม่ออน,เชียงใหม่,50130
85,16 มกราคม 2562,7-50130-005,โรงเรียนบ้านบวกคาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลบวกคาง,อําเภอสันกําแพง,เชียงใหม่,50130
86,4 มิถุนายน 2562,7-50130-006,โรงเรียนสันกําแพงคันธาอนุสรณ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
87,24 มิถุนายน 2562,7-50130-007,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอสันกําแพง,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
88,20 กุมภาพันธ 2563,7-50130-008,โรงเรียนอนุบาลเทศบาลตําบลบวกคาง,เทศบาลตําบลบวกคาง,ตําบลบวกคาง,อําเภอสันกําแพง,เชียงใหม่,50130
89,20 กุมภาพันธ 2563,7-50130-009,โรงเรียนวัดสันมะฮกฟา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลตนเปา,อําเภอสันกําแพง,เชียงใหม่,50130
90,20 กรกฎาคม 2563,7-50130-010,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอแม่ออน,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลออนกลาง,อําเภอแม่ออน,เชียงใหม่,50130
91,20 สิงหาคม 2563,7-50130-011,โรงเรียนวัดสันปาคา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลตนเปา,อําเภอสันกําแพง,เชียงใหม่,50130
92,19 กรกฎาคม 2567,7-50130-012,วิทยาลัยเทคนิคสันกําแพง,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลสหกรณ,อําเภอแม่ออน,เชียงใหม่,50130
93,20 มิถุนายน 2568,7-50130-013,โรงเรียนวัดห้วยแกว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลห้วยแกว,อําเภอแม่ออน,เชียงใหม่,50130
94,21 กรกฎาคม 2568,7-50130-014,โรงเรียนอนุบาลแม่บัวคลี่,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
95,21 กรกฎาคม 2568,7-50130-015,โรงเรียนอนุบาลรมแกว,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลตนเปา,อําเภอสันกําแพง,เชียงใหม่,50130
96,21 กรกฎาคม 2568,7-50130-016,โรงเรียนอนุบาลสุขประเสริฐ,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
97,21 กรกฎาคม 2568,7-50130-017,โรงเรียนอนุบาลไผแกว,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลแชช้าง,อําเภอสันกําแพง,เชียงใหม่,50130
98,21 กรกฎาคม 2568,7-50130-018,โรงเรียนสันกําแพง,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลทรายมูล,อําเภอสันกําแพง,เชียงใหม่,50130
99,21 กรกฎาคม 2568,7-50130-019,โรงเรียนวัดบ้านนอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
100,21 กรกฎาคม 2568,7-50130-020,โรงเรียนทาเหนือวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลทาเหนือ,อําเภอแม่ออน,เชียงใหม่,50130
101,21 กรกฎาคม 2568,7-50130-021,โรงเรียนบ้านผาปูน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมกอย,อําเภออมกอย,เชียงใหม่,50130
102,20 สิงหาคม 2568,7-50130-022,โรงเรียนวัดเปาสามขา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลออนกลาง,อําเภอแม่ออน,เชียงใหม่,50130
103,20 ตุลาคม 2568,7-50130-023,โรงเรียนบ้านออนหลวย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลออนเหนือ,อําเภอแม่ออน,เชียงใหม่,50130
104,20 ตุลาคม 2568,7-50130-024,โรงเรียนวัดสันกลางเหนือ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันกลาง,อําเภอสันกลาง,เชียงใหม่,50130
105,20 ตุลาคม 2568,7-50130-025,โรงเรียนออนใตวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลออนใต,อําเภอสันกําแพง,เชียงใหม่,50130
106,20 ตุลาคม 2568,7-50130-026,โรงเรียนวัดห้วยทราย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่ทา,อําเภอแม่ออน,เชียงใหม่,50130
107,20 ตุลาคม 2568,7-50130-027,โรงเรียนวัดดอนชัย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่ทา,อําเภอแม่ออน,เชียงใหม่,50130
108,20 พฤศจิกายน 2568,7-50130-028,โรงเรียนอนุบาลเทศบาลตําบลสันกําแพง,เทศบาลตําบลสันกําแพง,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
109,20 ตุลาคม 2568,7-50130-029,โรงเรียนอนุบาลองคการบริหาร สวนตําบลรองวัวแดง,องคการบริหารสวนตําบลรอง วัวแดง,ตําบลรองวัวแดง,อําเภอสันกําแพง,เชียงใหม่,50130
110,20 ตุลาคม 2568,7-50130-030,โรงเรียนบ้านแม่ปูคา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่ปูคา,อําเภอสันกําแพง,เชียงใหม่,50130
