"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
325,19 ธันวาคม 2568,7-50210-022,โรงเรียนสวนองุนเชียงใหม่,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันทรายนอย,อําเภอสันทราย,เชียงใหม่,50210
326,ประมาณป 2546,7-50220-001,โรงเรียนบ้านตลาดขี้เหล็ก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่โปง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
327,ประมาณป 2546,7-50220-002,โรงเรียนบ้านแม่โปงสามัคคี,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่โปง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
328,23 ธันวาคม 2546,7-50220-003,"โรงเรียนชลประทานผาแตก
(ปญญาพลอุปถัมถ)",สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลลวงเหนือ,อําเภอดอยสะเก็ด,เชียงใหม่,50220
329,23 ธันวาคม 2546,7-50220-004,โรงเรียนบ้านปาไมแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลปาปอง,อําเภอดอยสะเก็ด,เชียงใหม่,50220
330,16 พฤศจิกายน 2555,7-50220-005,โรงเรียนดอยสะเก็ดวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลเชิงดอย,อําเภอดอยสะเก็ด,เชียงใหม่,50220
331,24 มิถุนายน 2562,7-50220-006,โรงเรียนบ้านปาเหมือด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสําราษราษฎร,อําเภอดอยสะเก็ต,เชียงใหม่,50220
332,24 มิถุนายน 2562,7-50220-007,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอดอยสะเก็ต,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลเชิงดอย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
333,20 กรกฎาคม 2563,7-50220-008,โรงเรียนอนุบาลเทศบาลตําบลแม่คือ,เทศบาลตําบลแม่คือ,ตําบลแม่คือ,อําเภอดอยสะเก็ต,เชียงใหม่,50220
334,20 มิถุนายน 2568,7-50220-009,โรงเรียนบ้านบอหิน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลตลาดขวัญ,อําเภอดอยสะเก็ต,เชียงใหม่,50220
335,20 มิถุนายน 2568,7-50220-010,โรงเรียนอนุบาลวิลาวัลย,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลลวงเหนือ,อําเภอดอยสะเก็ต,เชียงใหม่,50220
336,21 กรกฎาคม 2568,7-50220-011,โรงเรียนเทพเสด็จวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลเทพเสด็จ,อําเภอดอยสะเก็ต,เชียงใหม่,50220
337,21 กรกฎาคม 2568,7-50220-012,โรงเรียนเพื่อชีวิตเชียงใหม่,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลปาเมี่ยง,อําเภอดอยสะเก็ต,เชียงใหม่,50220
338,21 กรกฎาคม 2568,7-50220-013,โรงเรียนอนุบาลจันทโชติ,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลแม่โปง,อําเภอดอยสะเก็ต,เชียงใหม่,50220
339,20 สิงหาคม 2568,7-50220-014,โรงเรียนบ้านปางน้ำถุ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลปาเมี่ยง,อําเภอดอยสะเก็ต,เชียงใหม่,50220
340,20 ตุลาคม 2568,7-50220-015,โรงเรียนบ้านโปงกุม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลปาเมี่ยง,อําเภอดอยสะเก็ต,เชียงใหม่,50220
341,20 ตุลาคม 2568,7-50220-016,โรงเรียนบ้านรองขี้เหล็ก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลเชิงดอย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
342,20 ตุลาคม 2568,7-50220-017,โรงเรียนบ้านแม่หวาน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลปาเมี่ยง,อําเภอดอยสะเก็ต,เชียงใหม่,50220
343,20 ตุลาคม 2568,7-50220-018,โรงเรียนบ้านปาเสรา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันปูเลย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
344,20 ตุลาคม 2568,7-50220-019,โรงเรียนบ้านปางแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลปาเมี่ยง,อําเภอดอยสะเก็ต,เชียงใหม่,50220
345,20 พฤศจิกายน 2568,7-50220-020,โรงเรียนเทศบาลตําบลตลาดใหญ,เทศบาลตําบลตลาดใหญ,ตําบลตลาดใหญ,อําเภอดอยสะเก็ด,เชียงใหม่,50220
346,11 ธันวาคม 2568,7-50220-021,โรงเรียนบ้านปาขุย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันปูเลย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
347,11 ธันวาคม 2568,7-50220-022,โรงเรียนบ้านแม่ดอกแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลเชิงดอย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
348,11 ธันวาคม 2568,7-50220-023,โรงเรียนบ้านปางิ้ว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสงาบ้าน,อําเภอดอยสะเก็ต,เชียงใหม่,50220
349,11 ธันวาคม 2568,7-50220-024,โรงเรียนบ้านเชิงดอย (ดอยสะเก็ตศึกษา),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลเชิงดอย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
350,19 ธันวาคม 2568,7-50220-025,โรงเรียนอนุบาลเทศบาลตําบลสันปูเลย,เทศบาลตําบลสันปูเลย,ตําบลสันปูเลย,อําเภอดอยสะเก็ต,เชียงใหม่,50220
351,20 มีนาคม 2569,7-50220-026,โรงเรียนอนุบาลสุมาลี,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลตลาดใหญ,อําเภอดอยสะเก็ต,เชียงใหม่,50220
352,14 กรกฎาคม 2548,7-50230-001,โรงเรียนบ้านไร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านแหวน,อําเภอหางดง,เชียงใหม่,50230
353,29 เมษายน 2554,7-50230-002,โรงเรียนตนแกวผดุงพิทยาลัย,องคการบริหารสวนจังหวัด เชียงใหม่,ตําบลขุนคง,อําเภอหางดง,เชียงใหม่,50230
354,23 กรกฎาคม 2555,7-50230-003,โรงเรียนหางดงรัฐราษฎรอุปถัมภ,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
355,1 พฤษภาคม 2560,7-50230-004,โรงเรียนบ้านแสนตอ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลน้ำแพร,อําเภอหางดง,เชียงใหม่,50230
356,16 มกราคม 2562,7-50230-005,โรงเรียนบ้านทาวบุญเรือง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านแหวน,อําเภอหางดง,เชียงใหม่,50230
357,24 มิถุนายน 2562,7-50230-006,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอหางดง,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
358,20 กรกฎาคม 2563,7-50230-007,โรงเรียนวัดศรีลอม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลหารแกว,อําเภอหางดง,เชียงใหม่,50230
359,22 กุมภาพันธ 2564,7-50230-008,โรงเรียนบ้านแม่งูด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50230
360,20 มิถุนายน 2565,7-50230-009,"โรงเรียนเทศบาลหางดง
(ประชาคมสรางสรรค)",เทศบาลตําบลหางดง,ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
361,20 กันยายน 2566,7-50230-010,โรงเรียนอนุบาลพัฒนชัย,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันผักหวาน,อําเภอหางดง,เชียงใหม่,50230
362,21 กรกฎาคม 2568,7-50230-011,โรงเรียนอนุบาลซันชายน,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
363,21 กรกฎาคม 2568,7-50230-012,โรงเรียนนานาชาติบริติช คอน คอรแดนซ,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนอควาย,อําเภอหางดง,เชียงใหม่,50230
364,21 กรกฎาคม 2568,7-50230-013,โรงเรียนอนุบาลเต็มสิริวิทยา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลน้ำแพร,อําเภอหางดง,เชียงใหม่,50230
365,21 กรกฎาคม 2568,7-50230-014,โรงเรียนนันทชาติเกรดสคูล,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
366,20 ตุลาคม 2568,7-50230-015,โรงเรียนบ้านฟอน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
367,20 ตุลาคม 2568,7-50230-016,โรงเรียนบ้านน้ำแพร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลหางดง,อําเภอหางดง,เชียงใหม่,50230
368,20 พฤศจิกายน 2568,7-50230-017,โรงเรียนอนุบาลเทศบาลตําบล หนองควาย,เทศบาลตําบลหนองคาย,ตําบลหนองควาย,อําเภอหางดง,เชียงใหม่,50230
369,16 กันยายน 2556,7-50240-001,โรงเรียนฮอดพิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
370,5 กันยายน 2559,7-50240-002,โรงเรียนวัดบ้านขุนเตรียมพุทธ ศาสตร,สํานักงานพระพุทธศาสนา แหงชาติ,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
371,20 ธันวาคม 2562,7-50240-003,โรงเรียนแม่โถวิทยาคม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลบอสลี,อําเภอฮอด,เชียงใหม่,50240
372,20 กรกฎาคม 2563,7-50240-004,โรงเรียนบ้านวังกอง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
373,22 กุมภาพันธ 2564,7-50240-005,โรงเรียนบ้านแม่ลอง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
374,22 กุมภาพันธ 2564,7-50240-006,โรงเรียนบ้านนาฟอน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
375,22 กุมภาพันธ 2564,7-50240-007,โรงเรียนศูนย์อพยพแปลง 8,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลท่าเดื่อ,อําเภอดอยเตา,เชียงใหม่,50240
376,22 กุมภาพันธ 2564,7-50240-008,โรงเรียนบ้านทุงโปง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านตาล,อําเภอฮอด,เชียงใหม่,50240
377,22 กุมภาพันธ 2564,7-50240-009,โรงเรียนบ้านกองลอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอสลี,อําเภออมกอย,เชียงใหม่,50240
378,20 สิงหาคม 2567,7-50240-010,โรงเรียนบ้านทุง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอสลี,อําเภอฮอด,เชียงใหม่,50240
379,20 มิถุนายน 2568,7-50240-011,โรงเรียนบ้านผาแตน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
380,20 สิงหาคม 2564,7-50240-012,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภอฮอด,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
381,20 มิถุนายน 2568,7-50240-013,โรงเรียนบ้านดอยคํา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
382,20 มิถุนายน 2568,7-50240-014,โรงเรียนชุมชนบ้านท่าขาม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
383,21 กรกฎาคม 2568,7-50240-015,โรงเรียนบ้านแม่อมลอง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอสลี,อําเภอฮอด,เชียงใหม่,50240
384,21 กรกฎาคม 2568,7-50240-016,โรงเรียนบ้านนาคอเรือ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50240
385,21 กรกฎาคม 2568,7-50240-017,โรงเรียนบ้านตาลใต,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านตาล,อําเภอฮอด,เชียงใหม่,50240
386,21 กรกฎาคม 2568,7-50240-018,โรงเรียนบ้านวังลุง (เพชรประชานุ เคราะห),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
387,21 กรกฎาคม 2568,7-50240-019,โรงเรียนบ้านบอหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
388,21 กรกฎาคม 2568,7-50240-020,โรงเรียนบ้านบอสลี,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอสลี,อําเภอฮอด,เชียงใหม่,50240
389,21 กรกฎาคม 2568,7-50240-021,โรงเรียนบ้านหางดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
390,21 กรกฎาคม 2568,7-50240-022,โรงเรียนบ้านแม่ลายเหนือ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
391,21 กรกฎาคม 2568,7-50240-023,โรงเรียนบ้านพุย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
392,21 กรกฎาคม 2568,7-50240-024,โรงเรียนบ้านแควมะกอก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลฮอด,อําเภอฮอด,เชียงใหม่,50240
393,21 กรกฎาคม 2568,7-50240-025,โรงเรียนบ้านเตียนอาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
394,21 กรกฎาคม 2568,7-50240-026,โรงเรียนบ้านขุน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
395,21 กรกฎาคม 2568,7-50240-027,โรงเรียนบ้านกิ่วลม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
396,21 กรกฎาคม 2568,7-50240-028,โรงเรียนบ้านตาลเหนือ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านตาล,อําเภอฮอด,เชียงใหม่,50240
397,21 กรกฎาคม 2568,7-50240-029,โรงเรียนชุมชนบ้านแม่ทัง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
398,21 กรกฎาคม 2568,7-50240-030,โรงเรียนบ้านแปะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
399,21 กรกฎาคม 2568,7-50240-031,โรงเรียนบ้านห้วยทราย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
400,21 กรกฎาคม 2568,7-50240-032,โรงเรียนบ้านห้วยมวงฝงซาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
401,21 กรกฎาคม 2568,7-50240-033,โรงเรียนบ้านบนนา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
402,21 กรกฎาคม 2568,7-50240-034,โรงเรียนบ้านท่าขาม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
403,21 กรกฎาคม 2568,7-50240-035,โรงเรียนบ้านสบแปะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
404,20 สิงหาคม 2568,7-50240-036,โรงเรียนบ้านแม่สอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
405,20 สิงหาคม 2568,7-50240-037,โรงเรียนบ้านขุนแปะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
406,20 ตุลาคม 2568,7-50240-038,โรงเรียนบ้านหนองคัน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
407,11 ธันวาคม 2568,7-50240-039,โรงเรียนบ้านดงคํา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลฮอด,อําเภอฮอด,เชียงใหม่,50240
408,11 ธันวาคม 2568,7-50240-040,โรงเรียนบ้านกองหิน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
409,11 ธันวาคม 2568,7-50240-041,โรงเรียนบ้านโรงวัว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
410,11 ธันวาคม 2568,7-50240-042,โรงเรียนบ้านใหมสารภี,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50240
411,11 ธันวาคม 2568,7-50240-043,โรงเรียนบ้านสบแจ่มฝงซาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านแปะ,อําเภอจอมทอง,เชียงใหม่,50240
412,11 ธันวาคม 2568,7-50240-044,โรงเรียนบ้านเดนวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50240
413,11 ธันวาคม 2568,7-50240-045,โรงเรียนบ้านตีนตก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาคอเรือ,อําเภอฮอด,เชียงใหม่,50240
414,11 ธันวาคม 2568,7-50240-046,โรงเรียนบ้านดอกแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอสลี,อําเภอฮอด,เชียงใหม่,50240
415,11 ธันวาคม 2568,7-50240-047,โรงเรียนบ้านแม่ลาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
416,11 ธันวาคม 2568,7-50240-048,โรงเรียนบ้านแม่สะนาม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลบอหลวง,อําเภอฮอด,เชียงใหม่,50240
417,11 ธันวาคม 2568,7-50240-049,โรงเรียนบ้านโคงงาม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 5,ตําบลหางดง,อําเภอฮอด,เชียงใหม่,50240
418,16 กันยายน 2556,7-50250-001,โรงเรียนบ้านปางขุม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
419,22 กรกฎาคม 2562,7-50250-002,โรงเรียนทรายทองราษฎรอุทิศ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
420,20 มกราคม 2564,7-50250-003,โรงเรียนบ้านกิ่วเสือ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
421,20 ธันวาคม 2565,7-50250-004,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภออําเภอสะเมิง,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
422,20 สิงหาคม 2567,7-50250-005,โรงเรียนบ้านแม่โต,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลบอแกว,อําเภอสะเมิง,เชียงใหม่,50250
423,20 มิถุนายน 2568,7-50250-006,โรงเรียนวัดปางเติม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
424,20 มิถุนายน 2568,7-50250-007,โรงเรียนวัดบ้านปอก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงเหนือ,อําเภอสะเมิง,เชียงใหม่,50250
425,20 มิถุนายน 2568,7-50250-008,โรงเรียนบ้านปาลาน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงเหนือ,อําเภอสะเมิง,เชียงใหม่,50250
426,21 กรกฎาคม 2568,7-50250-009,โรงเรียนสะเมิงพิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
427,21 กรกฎาคม 2568,7-50250-010,โรงเรียนวัดปางเติม สาขาบ้านขุน สาบ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
428,21 กรกฎาคม 2568,7-50250-011,โรงเรียนวัดยั้งเมิน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลยั้งเมิน,อําเภอสะเมิง,เชียงใหม่,50250
429,21 กรกฎาคม 2568,7-50250-012,โรงเรียนบ้านบอแกว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลบอแกว,อําเภอสะเมิง,เชียงใหม่,50250
430,21 กรกฎาคม 2568,7-50250-013,โรงเรียนบ้านแม่ยางหา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลบอแกว,อําเภอสะเมิง,เชียงใหม่,50250
431,21 กรกฎาคม 2568,7-50250-014,โรงเรียนบ้านแม่ยางหา สาขาบ้าน เดนฮอม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลบอแกว,อําเภอสะเมิง,เชียงใหม่,50250
432,21 กรกฎาคม 2568,7-50250-015,โรงเรียนชุมชนบ้านดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
433,21 กรกฎาคม 2568,7-50250-016,โรงเรียนวัดงิ้วเฒา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
434,21 กรกฎาคม 2568,7-50250-017,โรงเรียนบ้านแม่ลานคํา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงใต,อําเภอสะเมิง,เชียงใหม่,50250
435,21 กรกฎาคม 2568,7-50250-018,โรงเรียนบ้านนากู,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สาบ,อําเภอสะเมิง,เชียงใหม่,50250
436,21 กรกฎาคม 2568,7-50250-019,โรงเรียนบ้านแม่ขะปู,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลบอแกว,อําเภอสะเมิง,เชียงใหม่,50250
